Year,Country,Region,SubRegion,IntermRegion,SurfAreaSqKm,PopDens,PopGrowth%,GDP,GDPGrowth%,AdolFertRate,AgriValAdd%GDP,DomCredit%GDP,Exports%GDP,FertRate,FDINetBoP,GNI/CapAtlas,GNIAtlas,GrossCapForm%GDP,Imports%GDP,IndValAdd%GDP,InflConsPric%,LifeExpBirth,MerchTrade%GDP,MilExp%GDP,MobileSubs/100,MortRateU5,NetMigr,PopTotal,RevenueExGrants%GDP,SchEnrollPrim%,TaxRevenue%GDP,UrbanPopGrowth%
1974,Jordan,Asia,Western Asia,,88780.0,20.7115140525839,3.34774147071149,1197485191.68193,,99.267,14.8301788955146,,,7.955,6830353.69898947,,,,,16.256157635468,,63.434,53.6958623343705,17.5099866844208,,73.5,-12024.0,1827584.0,,103.034088134766,,3.93401688691884
1974,Russian Federation,Europe,Eastern Europe,,17098240.0,,0.573468037351157,,,34.542,,,,2.0,,,,,,,,68.320243902439,,,,32.2,-39791.0,133432000.0,,106.552223205566,,1.7732893161219
1974,Italy,Europe,Southern Europe,,301340.0,187.381823127401,0.654388935648374,199564489431.378,5.50014110132227,32.297,,,18.5240181835671,2.28,595350461.044662,3930.0,216605066338.504,29.7710232725886,22.278876634491,,20.2463802148206,72.7343902439025,35.8550763233879,2.07062677398957,,25.3,46875.0,55110868.0,24.1457003268213,106.801429748535,13.4981706996142,0.962002539492351
1974,Luxembourg,Europe,Western Europe,,,,1.30405816817688,3183637116.81856,4.21247477754861,24.088,,,103.680272728456,1.58,,6850.0,2432491585.87046,18.0428545404864,76.3857949592078,,16.9807046604843,70.1571707317073,,0.685000056287078,,17.7,2706.0,355050.0,27.5551040135921,110.110778808594,17.6591034149909,2.07622481818603
1974,St. Lucia,Americas,Latin America and the Caribbean,Caribbean,620.0,179.901639344262,1.49277056580971,,,152.169,,,,5.571,,,,,,,,65.564,,,,51.1,-1679.0,109740.0,,116.469291687012,,2.54611688984473
1974,Denmark,Europe,Northern Europe,,42920.0,126.132425,0.465594010478141,34160444803.7147,-1.12239425036076,26.014,5.15634977045044,,30.6563146007006,1.9,240000000.0,6800.0,34294632169.7193,26.9356067456661,34.0048777525192,25.114117733145,13.2664429605712,73.8082926829268,51.6562360396465,2.23484393156229,,13.1,4635.0,5045297.0,32.040614685096,98.3813323974609,29.1084013339866,1.04510349064824
1974,Uganda,Africa,Sub-Saharan Africa,Eastern Africa,241550.0,57.1977178319403,2.50360643586344,2098944967.50769,,191.014,60.4877054747996,,14.7194674636598,7.223,1700000.0,,,11.6152696644478,15.0455101209075,10.6575193587828,,46.612,25.1554951736992,3.62484157160963,,197.6,-51953.0,11428676.0,,39.2698211669922,,3.60110574608376
1974,Bermuda,Americas,Northern America,,54.0,988.888888888889,-0.74627212015896,312600000.0,0.877192982621835,64.411,,,,1.988,,,,,,,14.9839477291005,72.394,,,,,-360.0,53400.0,,104.448318481445,,-0.74627212015896
1974,"Congo, Dem. Rep.",Africa,Sub-Saharan Africa,Middle Africa,2344860.0,9.90203789065085,2.68403404923439,9596960179.64072,3.13058587923621,147.738,,,,6.416,51979999.9,,,,,,18.238322992894,44.41,18.0265414007872,5.26666666666667e-05,,233.4,3211.0,22448415.0,11.1063112018972,94.8491516113281,10.503159469959,3.64266736340067
1974,Romania,Europe,Eastern Europe,,238390.0,91.2973387166797,0.925588793249952,,,67.65,,,,2.71,0.0,,,,,,,69.499756097561,,,,44.0,53621.0,21029429.0,,118.939613342285,,2.12352473090985
1974,Trinidad and Tobago,Americas,Latin America and the Caribbean,Caribbean,5130.0,202.785769980507,1.32841525135379,2042001159.23119,3.80760400856937,87.396,4.58177319106478,,,3.338,120152999.9,1440.0,1493822929.60917,,,58.0031974146301,57.5116685266811,66.848,190.107629589278,0.420373506332435,,47.2,-7683.0,1040291.0,,112.855041503906,,3.34856143818001
1974,Honduras,Americas,Latin America and the Caribbean,Central America,112490.0,28.0323442666905,2.90560017146302,1034499999.78562,-1.22764173123555,147.947,26.5828902851619,,32.1411309811503,6.921,-1149999.99976168,350.0,1086296402.19339,26.1962300628323,44.0792653455776,22.9096181730304,14.7789434340134,52.313,64.8622523092368,1.59886471144749,,148.9,-9475.0,3136539.0,13.4364427259546,82.8663711547852,11.1213146447559,4.95686141326441
